lat,lon,queried_at_utc,wind_speed_100m_ms,wind_direction_100m,expected_power_kw,in_operating_range
52.95,4.15,2026-06-18T21:00,5.3,188,421.0997163374372,True
52.95,4.35,2026-06-18T21:00,4.2,183,178.06763028297286,True
52.95,4.55,2026-06-18T21:00,3.8,195,119.28447849570006,True
52.95,4.75,2026-06-18T21:00,2.9,227,0.0,False
52.95,4.95,2026-06-18T21:00,2.4,164,0.0,False
52.95,5.15,2026-06-18T21:00,2.3,193,0.0,False
52.95,5.35,2026-06-18T21:00,1.7,291,0.0,False
52.95,5.55,2026-06-18T21:00,3.3,317,80.29779070404803,True
52.95,5.75,2026-06-18T21:00,4.0,345,141.00085797934884,True
52.95,5.95,2026-06-18T21:00,3.3,323,80.29779070404803,True
52.95,6.15,2026-06-18T21:00,2.2,308,0.0,False
52.95,6.35,2026-06-18T21:00,3.1,340,73.88567213786914,True
52.95,6.55,2026-06-18T21:00,2.4,15,0.0,False
52.95,6.75,2026-06-18T21:00,2.7,47,0.0,False
52.95,6.95,2026-06-18T21:00,2.4,25,0.0,False
52.95,7.15,2026-06-18T21:00,6.5,81,809.972033555225,True
53.15,3.35,2026-06-18T21:00,10.7,184,2830.2091674178105,True
53.15,3.55,2026-06-18T21:00,10.3,188,2637.628113647206,True
53.15,3.75,2026-06-18T21:00,9.5,189,2231.9187444725085,True
53.15,3.95,2026-06-18T21:00,9.0,194,1994.5075560844232,True
53.15,4.15,2026-06-18T21:00,8.7,187,1836.369561761296,True
53.15,4.35,2026-06-18T21:00,7.6,189,1297.819749655131,True
53.15,4.55,2026-06-18T21:00,6.0,197,624.3252037132175,True
53.15,4.75,2026-06-18T21:00,4.8,214,299.99224907029827,True
53.15,4.95,2026-06-18T21:00,3.8,234,119.28447849570006,True
53.15,5.15,2026-06-18T21:00,2.5,223,0.0,False
53.15,5.35,2026-06-18T21:00,3.7,201,108.4262887538757,True
53.15,5.55,2026-06-18T21:00,4.5,245,233.66778873840877,True
53.15,5.75,2026-06-18T21:00,4.1,278,159.53424413116076,True
53.15,5.95,2026-06-18T21:00,2.5,300,0.0,False
53.15,6.15,2026-06-18T21:00,1.5,89,0.0,False
53.15,6.35,2026-06-18T21:00,0.9,102,0.0,False
53.15,6.55,2026-06-18T21:00,2.3,45,0.0,False
53.15,6.75,2026-06-18T21:00,6.6,95,850.6394442456975,True
53.15,6.95,2026-06-18T21:00,6.1,88,661.4545696816189,True
53.15,7.15,2026-06-18T21:00,5.9,83,593.93226095529,True
53.35,3.35,2026-06-18T21:00,10.7,198,2830.2091674178105,True
53.35,3.55,2026-06-18T21:00,11.2,198,3058.406478959627,True
53.35,3.75,2026-06-18T21:00,12.3,192,3417.0022320669977,True
